,Salmón Atlántico,Salmón Coho,Trucha arcoíris
Nutrientes,Cosecha/Comercialización,Cosecha/Comercialización,Cosecha/Comercialización
Proteínas (KG),17.8,16.06,9.855
Lípidos (Kg),9.855,8.03,5.11
Carbohidratos (Kg),11.68,16.06,9.855
Vitaminas (Kg),9.125,10.95,7.3
